OBJECTID,id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,scientific,code,shape_Leng,ORIG_FID,POINT_X,POINT_Y
5962,17314.000000000000000,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Cyprus, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus kuhlii,LC,6.628004076010000,5961,33.234913030212226,35.049241062325223
5963,17314.000000000000000,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Sicily, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus kuhlii,LC,10.242173592400000,5962,14.157397797670285,37.591343697553668
5964,17314.000000000000000,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Sardinia, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus kuhlii,LC,11.948522034900000,5963,9.032358771040492,40.089900421867014
5965,17314.000000000000000,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Rhodes, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus kuhlii,LC,2.062313452390000,5964,27.954764442724922,36.186134428660978
5966,17314.000000000000000,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Cape verde islands (San Vincente), , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus kuhlii,LC,0.666409718501000,5965,-24.980084750111075,16.844839128622937
5967,17314.000000000000000,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Lesbo, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus kuhlii,LC,3.227012464110000,5966,26.244028416877995,39.173053315857885
5968,17314.000000000000000,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Madagascar, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus kuhlii,LC,11.081258389400000,5967,44.266828829786732,-21.747207305172935
5969,17314.000000000000000,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Majorca, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus kuhlii,LC,4.078057862170000,5968,2.954701342293163,39.612775411156349
5970,17314.000000000000000,Pipistrellus kuhlii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Malta, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus kuhlii,LC,1.325639824240000,5969,14.407625356225253,35.923960187912371
5971,17315.000000000000000,Pipistrellus maderensis,6,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , ,Flores, , ,Not Mapped, ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus maderensis,VU,0.524606727878000,5970,-31.200364035271946,39.447471170658048
